gangguan,solusi
Gangguan CPU,"setelah dilakukan pengecekan, masalahnya terletak pada monitornya, solusinya mengganti monitor yang lain"
Instalasi Aplikasi,Instal dan setting driver printer HP Laser Jet 5200 TN di komputer des-cae-79
Akses Internet,"Setting ulang jaringan, password admin tidak tahu"
Akses Internet,"Setting ulang jaringan, problem di password admin tidak tahu"
NAPA - Cadmatic - Nesting,"Sudah solve dengan mapping ulang Drive L, oleh Alifia divisi TI"
Gadget IM4,"Cara:
1. Pastikan koneksi internet terhubung
2. Swip out aplikasi / kluar app dan masuk app lagi

kalau gadget nya masih trouble, mungkin bisa dibawa IT trims"
NAPA - Cadmatic - Nesting,Mapping L yang keliru sudah disesuaikan path nya oleh Alifia .Y dari divisi TI 
Instalasi Aplikasi,Instal ulang VScode versi 1.97.2
Network Access,"agar dilakukan install ulang PC biar dapat file sharing karena ada log yg nyantol di windows
"
Gangguan OS,sistem sudah diperbaiki
Gangguan Aplikasi Pendukung,"1. Reset user
2. disk cleanup"
Gangguan CPU,Setting sharing printer
Gangguan CPU,Sudah menghubungi user untuk membawa komputernya ke TI. Dan info terakhir komputer masih bisa digunakan.
Gadget IM4,"silhakan log out kmudian login lagi 
terima kasih"
NAPA - Cadmatic - Nesting,Sudah di install oleh Alifia .Y dari divisi TI
Network Access,"untuk penarikan kabel dilakukan oleh user, Tim TI melakukan crimping dan setting pada switch"
Instalasi Aplikasi,Install aplikasi nitro
ERP (IM4),Data attendance sudah sesuai
ERP (IM4),mohon di cek reporting saat setelah absen
ERP (IM4),"untuk migrasi KPI silahkan koordinasi dengan PSP. 
untuk struktur organisasi sudah sesuai silahkan dicek kembali"
Instalasi Aplikasi,Instaler yang tersedia di Div TI Autocad 2016
Gangguan Storage,Disk clean up komputer dan uninstall aplikasi yang tidak digunakan
Instalasi Aplikasi,"1. Untuk pdf creator sudah terinstal
2. untuk penamaan folder cadmatic workspace tanpa spasi"
Absensi,Jika masih seperti ini silahkan membawa HP IM4 ke Divisi TI
Aplikasi Office/Perkantoran,Instal WPS Officer oleh user
Absensi,Pastikan melakukan login SSO setiap pagi dan cek geo location terlebih dahulu
Instalasi Aplikasi,Install composer untuk menjalankan laravel di 3 komputer
Gangguan OS,"1. Kabel SATA on board rusak.
2. komputer tidak bisa digunakan karena tidak ada penggantin.
3. ganti komputer tanpa harddisk dan heatsink rusak.
4. penggantian heatsink dan penambahan harddisk
5. instal ulang windows 10 beserta aplikasi standar office
6. setting internet"
Aplikasi Office/Perkantoran,"Disk clean up dan clear chace, apabila nanti masih ada kendala lemot, user perlu di reset."
Absensi,mohon di cek repoting setiap habis absen
Email,"sudah di aksi (penambahan storage)
terima kasih"
Hotspot,Jaringan kabel LAN (Intra) tidak diperbolehkan disharing(tethering)
Hotspot,sedang ada gangguan fo moratel yg ke pwk
NAPA - Cadmatic - Nesting,Ebrowser sudah di-update dan berjalan normal
Network Access,"Setting Ulang dot1x, pindah jaringan dan pindah PC"
Absensi,"silahkan diperiksa kembali, jika terjadi seperti ini lagi , silahkan langsung ke DIvisi IT untuk dilakukan pengecekan"
Instalasi Aplikasi,"1. Instal WPS Office.
2. Untuk office 365 bisa disediakan lisensi terlebih dahulu."
Absensi,Silahkan diperiksa kembali
Network Access,binding ulang mac smart TV
Network Access,untuk material kabel LAN dan penarikan dilakukan oleh user. Untuk crimping dan setting dilakukan tim TI
Gangguan CPU,"Sudah info ke bersangkutan melalui whatsapp untuk membawa komputer ke divisi TI. Tapi hingga sekarang 5 maret 2025 komputer belum dibawa ke TI.
Terimakasih"
Gadget IM4,"akun 022106735 . ini sudah pernah di tambahkan. 
silahkan logout im4 kemudian login im4 dan login im4collab
terima kasih"
NAPA - Cadmatic - Nesting,Instal dan aktivasi e-browser
Aplikasi Office/Perkantoran,"sudah di tambahkan, silahkan logout sso kemudian login lagi.
terima kasih"
Instalasi Aplikasi,Instal E-Browser
Absensi,"silahkan dicek kembali, dan usahakan berangkat lebih pagi, terimakasih"
Absensi,"silahkan logout sso dahulu, lalu kemudian login lagi. "
Absensi,Silahkan dicek kembali
Absensi,"silahkan logout sso dahulu, lalu kemudian login lagi. nanti otomatis im4 communicationnya login"
Instalasi Aplikasi,Instal ulang wps  office
Instalasi Aplikasi,Instal node.js beserta package npm
Absensi,Silahkan di cek kembali 
Absensi,"silahkan di cek kembali
"
Gadget IM4,"sudah di update, silahkan di cek kembali
terima kasih"
Gangguan CPU,"Setelah dilakukan pengecekan kerusakan terdapat pada ram komputer.
komputer bisa dijalankan dengan normal menggunakan 1 ram"
Gangguan Aplikasi Pendukung,penambahan storage partisi drive c
Network Access,Update konfigurasi pc internet divisi desain
Instalasi Aplikasi,"1. Instal zwcad 2023 & aktivasi
2. Instal WPS Office"
Instalasi Aplikasi,Instal soldworks beserta aktivasi lisensinya
Network Access,Penambahan switch unmanage & setup 7 configurasi switch
Network Access,"keblok otomatis karena terinfeksi virus
"
Gadget IM4,"mungkin gadgetnya bisa di bawa ke IT Pak, karena ada settingan di dalamnya yang ke disable pak
terima kasih"
Absensi,Mohon untuk datang tidak datang terlalu mepet untuk spare waktu absen
Network Access,port switch rusak
Sharing Printer,Cek ulang settingan printer
Gangguan OS,Setting akses internet pada user
Network Access,"susuai hasil monitor kami Tim Jaringan bahwa hari ini tidak ada permasalahan terhadap jaringan IM4Brain, untuk masalah absensi silakan menghubungi Tim aplikasi (IM4). Terima kasih
"
Instalasi Aplikasi,Instal aplikasi ansys 2024 R2 di PC DES-CAE-129 & DES-CAE-32
Gangguan Aplikasi Pendukung,"Melakukan setup share drive dengan proteksi spesifik kebutuhan.
Dilakukan pengujian, hasil OKE."
Email,sudah di tambahkan email pal ke outllook
Instalasi Aplikasi,Install Zwcad dan aktivasi lisensi
Absensi,"attendandce tgl 4 FEBRUARI 2025 sudah di perbaiki.
mohon untuk menuliskan deskripsi permasalahan secara benar, tgl 1 JANUARI 2025 bukan hari selasa dan itu hari libur"
Absensi,"silahkan dicek kembali
"
Gangguan OS,"1. Backup Data
2. Instal ulang windows
3. Update windows
4. Instal aplikasi standar office"
ERP (IM4),"sudah ditambahkan akses menu project report data untuk update s-curve. 
untuk mengakses dashboard silahkan login menggunakan 
username : viewonly
password : viewonly123"
ERP (IM4),"wbs yang digunakan sesuai dengan WO, yaitu Level 5 1-W000-NC Key Plan MO bukan 14110"
Network Access,keblok otomatis karena terdeteksi terinfeksi virus
Absensi,silahkan membuat sakit dengan surat dokter dari atasan langsung
Gangguan CPU,"Setelah dilakukan pengecekan perangkat, kerusakan komputer pada motherboardnya.
jika komputer sudah tidak digunakan bisa diambil.
Terimakasih "
Aplikasi Office/Perkantoran,"lisensi akun microsoft tidak bisa digunakan karena akun microsoft terkunci dengan sendirinya,
dan sudah dicoba pemulihan akun dengan segala cara tapi tidak bisa."
Gangguan I/O Peripheral,"1. Komputer tidak terdapat harddisk
2. Pemasangan harddisk
3. penggantian power supply
4. instal ulang windows beserta aplikasi standar office"
Gangguan CPU,"1. Pembersihan komputer
2. Komputer tidak bisa nyala karena pasta processor habis dan perlu ditambahkan.
3. Tes komputer, menyala dengan baik
4.  Disk Clean Up komputer

Proses perbaikan lama karena listrik mati, ada perbaikan ruangan di Div TI"
Absensi,Data CI sudah di sesuaikan silahkan di cek kembali
Absensi,untuk selanjutnya tidak dapat dilakukan perbaikan apabila tidak terdapat error sysytem
Instalasi Aplikasi,Instal software xampp versi terbaru dan cmake
Instalasi Aplikasi,"1. Instal software Inno setup
2. untuk NSIS tidak bisa diinstal karena instaler terdeteksi virus"
Network Access,cripping kabel & setup serta configurasi dot1X
Gangguan CPU,"1. Dilakukan pengecekan Harddisk, kondisi kesehatan masih 99%.
2. Windows corrupted.
3. Instal ulang windows beserta aplikasi standar office.
4. Update windows
5. Disk Clean Up
6. Setting jaringan"
Absensi,"Cek di Log 7.26, sudah dilakukan pembetulan absen"
Absensi,"silahkan di periksa kembali, jika ada blank putih silahkan di close app kemudian login ulang dan mencari lokasi lain yang tidak susah sinyal"
NAPA - Cadmatic - Nesting,Sudah di buatkan
Absensi,sudah dilakukan pembetulan cek historical login sso pukul 7:21
Instalasi Aplikasi,Instal ansys dan aktivasi
NAPA - Cadmatic - Nesting,Sudah d restore
Instalasi Aplikasi,Instal python versi 3.10
Absensi,"Manager sudah ada, bisa di coba kembali"
Absensi,data attendance sudah di sesuaikan
Absensi,"silahkan diperiksa kembali, mohon untuk mengecek reporting setelah absen agar tidak terjadi seperti ini lagi, dan jika ada error silahkan melampirkan bukti screenshot saat error terjadi"
Absensi,mohon langsung melakukan absen saat tiba di pt pal karena untuk selanjutnya tidak perbaikan data apabila lupa
Instalasi Aplikasi,Instal bahasa pemrograman rust
Gangguan CPU,- Unjoin komputerdan open disk 250GB
Gangguan CPU,"1. Pasta processor habis (Penambahan pasta processor)
2. Pembersihan PC
3. Update Windows
4. Setting komputer join domain
5. Disk Clean Up"
Aplikasi Internal PAL,Sesuai dengan ketentuan desain untuk komputer tidak memenuhi syarat instalasi E-Browser. (komputer user mendapatkan akses internet)
NAPA - Cadmatic - Nesting,Project telah dibuat dan siap digunakan 
NAPA - Cadmatic - Nesting,Perbaikan kabel jaringan 
Instalasi Aplikasi,Instal sowftware ansys dan solidwork
Instalasi Aplikasi,Install Zwcad 2023 & aktivasi lisensi
Gangguan CPU,"- Scan disk
- Disk clean up drive C
- Update windows"
Absensi,karena tidak dipermasalahkan oleh HCM
Gangguan CPU,"1. Setelah dilakukan pengecekan pada perangkat keras komputer, kerusakan terdapat pada RAM dan perlu penggantian.
2. Penambahann pasta processor yang sudah habis
3. Disk Clean Up
4. Update Windows
5. Proses penyelesaian lama karena komputer tidak segera dikirim ke TI langsung setelah pembuatan tiket, proses pengecekan lama karena di cek satu persatu, dan menunggu pengganti RAM yang baru dari user."
Aplikasi Internal PAL,Silahkan di cek kembali
Network Access,"Settingan dot1X lepas, setting ulang"
NAPA - Cadmatic - Nesting,Telah update license lokal
ERP (IM4),Berikut manual book untuk  install IM4 Communication versi desktop. Apabila ada kesulitan silahkan hubungi no ext 3512 atau langsung datang ke ruang IM4. Terimakasih.  
Gangguan I/O Peripheral,"Dilakukan pengecekan pada kabel monitor dan vga masih belum tampil.
Setelah dilakukan pengecekan yang bermasalah pada RAM-nya (pembersihan RAM)
Proses perbaikan selesai dan cek komputer hasil OKE."
Network Access,User memang tidak mendapatkan akses drive J karena user mendapatkan akses internet
Layar kedut,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
VPN nge-err,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
PC nge-lag,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
System nge-err,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Notifikasi ga muncul,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Layar kedut,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Absen kedut,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Absen kedut,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
System nge-err,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Update ngegagal,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Outlook nge-lambat,"Reset konfigurasi VPN, kalo masih error kita remote."
File ilang (kedut),"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Absen kedut,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Software ngadat,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Update ngegagal,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Notifikasi ga muncul,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Printer nge-jam,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Laptop kedut-kedut,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Email gak masuk,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Aplikasi ngehang,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
WiFi susah connect,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Notifikasi ga muncul,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
VPN nge-err,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
VPN nge-err,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Printer nge-jam,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Software ngadat,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Notifikasi ga muncul,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
System nge-err,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Update ngegagal,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Internet lemot,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Password ga nge-respond,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Koneksi putus-putus (lemot),"Reset absen session dan minta user login ulang, kalau masih error kabarin."
WiFi susah connect,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Login ga kenal,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Laptop kedut-kedut,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
System nge-err,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Printer nge-jam,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
WiFi susah connect,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Printer nge-jam,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
PC nge-lag,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Printer nge-jam,"Reset konfigurasi VPN, kalo masih error kita remote."
Laptop kedut-kedut,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Layar kedut,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Printer nge-jam,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Notifikasi ga muncul,"Reset konfigurasi VPN, kalo masih error kita remote."
Software ngadat,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Laptop kedut-kedut,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
WiFi susah connect,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Printer nge-jam,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Laptop kedut-kedut,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Notifikasi ga muncul,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Printer nge-jam,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
File ilang (kedut),"Coba clear cache dan disable extension, kalo masih kedut kabarin."
PC nge-lag,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Absen kedut,"Reset konfigurasi VPN, kalo masih error kita remote."
Update ngegagal,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Email gak masuk,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Laptop kedut-kedut,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Laptop kedut-kedut,"Reset konfigurasi VPN, kalo masih error kita remote."
Koneksi putus-putus (lemot),"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Internet lemot,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
WiFi susah connect,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Aplikasi ngehang,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Internet lemot,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Aplikasi ngehang,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Laptop kedut-kedut,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
System nge-err,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Password ga nge-respond,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
File ilang (kedut),"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Notifikasi ga muncul,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Login ga kenal,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Absen kedut,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
System nge-err,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
PC nge-lag,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Login ga kenal,"Reset konfigurasi VPN, kalo masih error kita remote."
Layar kedut,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Password ga nge-respond,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Notifikasi ga muncul,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Software ngadat,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
PC nge-lag,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Update ngegagal,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
PC nge-lag,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Update ngegagal,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Internet lemot,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Login ga kenal,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Internet lemot,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
System nge-err,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Outlook nge-lambat,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
VPN nge-err,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Koneksi putus-putus (lemot),"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
PC nge-lag,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Update ngegagal,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
File ilang (kedut),"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Internet lemot,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Laptop kedut-kedut,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Layar kedut,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Notifikasi ga muncul,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Koneksi putus-putus (lemot),"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
PC nge-lag,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Password ga nge-respond,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
PC nge-lag,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Update ngegagal,"Reset konfigurasi VPN, kalo masih error kita remote."
Outlook nge-lambat,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
System nge-err,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
File ilang (kedut),"Reset konfigurasi VPN, kalo masih error kita remote."
File ilang (kedut),"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Password ga nge-respond,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
File ilang (kedut),"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Password ga nge-respond,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Printer nge-jam,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Aplikasi ngehang,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
WiFi susah connect,"Reset konfigurasi VPN, kalo masih error kita remote."
VPN nge-err,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Software ngadat,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Notifikasi ga muncul,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Layar kedut,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Email gak masuk,"Reset konfigurasi VPN, kalo masih error kita remote."
File ilang (kedut),"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
System nge-err,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Login ga kenal,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Printer nge-jam,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Layar kedut,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Login ga kenal,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Internet lemot,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Layar kedut,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Software ngadat,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Email gak masuk,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
VPN nge-err,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Layar kedut,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Email gak masuk,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Outlook nge-lambat,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Printer nge-jam,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Login ga kenal,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Software ngadat,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Update ngegagal,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Aplikasi ngehang,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
WiFi susah connect,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Layar kedut,"Reset konfigurasi VPN, kalo masih error kita remote."
Laptop kedut-kedut,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Update ngegagal,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Password ga nge-respond,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Koneksi putus-putus (lemot),"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Outlook nge-lambat,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Email gak masuk,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Outlook nge-lambat,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Layar kedut,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Layar kedut,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
WiFi susah connect,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Password ga nge-respond,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Update ngegagal,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
VPN nge-err,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Printer nge-jam,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
PC nge-lag,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
WiFi susah connect,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Notifikasi ga muncul,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Outlook nge-lambat,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Outlook nge-lambat,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Update ngegagal,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Absen kedut,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Aplikasi ngehang,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Software ngadat,"Reset konfigurasi VPN, kalo masih error kita remote."
Printer nge-jam,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Login ga kenal,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Internet lemot,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Notifikasi ga muncul,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
System nge-err,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Absen kedut,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
Koneksi putus-putus (lemot),"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Internet lemot,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
System nge-err,"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Printer nge-jam,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Aplikasi ngehang,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Password ga nge-respond,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Aplikasi ngehang,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Layar kedut,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Outlook nge-lambat,"Kita reset koneksi WiFi dan periksa access point, ditunggu konfirmasi."
Laptop kedut-kedut,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Laptop kedut-kedut,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Absen kedut,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Laptop kedut-kedut,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Aplikasi ngehang,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Layar kedut,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Login ga kenal,"Reset password sementara dan buat yang baru, nanti dimintain konfirmasi."
Absen kedut,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Notifikasi ga muncul,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Email gak masuk,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Absen kedut,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
Password ga nge-respond,"Reset absen session dan minta user login ulang, kalau masih error kabari yan."
File ilang (kedut),"Reset absen session dan minta user login ulang, kalau masih error kabarin."
Outlook nge-lambat,"Update aplikasi ke versi terbaru, kalo masih ada error capture screenshot."
Aplikasi ngehang,"Restart dulu, kalo masih lemot kasih tau buat kita (IT) cek dulu ya lebih lanjut."
Aplikasi ngehang,"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
System nge-err,"Coba restart dulu, kalo tetep ngehang kita (IT) jadwalkan pengecek dulu yaan onsite."
Internet lemot,"Reset konfigurasi VPN, kalo masih error kita remote."
Internet lemot,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Absen kedut,"Coba restart dulu, kalo tetep ngehang kita jadwalkan pengecekan onsite."
Email gak masuk,"Bersihin sensor printer dan coba ganti kertas, kalau masih macet hubungi teknisi."
Login ga kenal,"Coba clear cache dan disable extension, kalo masih kedut kabari yan."
Password ga nge-respond,"Reset profile Outlook dan re-sync mailbox, nanti saya bantu langkahnya."
Absen kedut,"Coba clear cache dan disable extension, kalo masih kedut kabarin."
Email gak masuk,"Reset konfigurasi VPN, kalo masih error kita (IT) remote."
Koneksi putus-putus (lemot),"Restart dulu, kalo masih lemot kasih tau buat kita cek lebih lanjut."
